English	Czech	Dutch	French	German	Hungarian	Italian	Polish	Russian	Slovak	Spanish	Swedish	Ukrainian
actors	herci	acteurs	acteurs	Schauspieler	színészek	attori	aktorzy	актеры	herci	actores	aktörer	актори
adoption	adopce	adoptie	adoption	Adoption	örökbefogadás	adozione	adopcja	усыновление	adopcia	adopción	adoption	адоптація
Africa	Afrika	Afrika	Afrique	Afrika	Afrika	Africa	Afryka	Африка	Afrika	África	Afrika	Африка
airplanes	letadla	vliegtuigen	avions	Flugzeuge	repülőgépek	aerei 	samoloty	самолеты	lietadlá	aviones	flygplan	літаки
alcohol	alkohol	alcohol	alcool	Alkohol	alkohol	alcool	alkohol	алкоголь	alkohol	alcohol	alkohol	алкоголь
aliens	mimozemšťané	buitenaardse wezens	extraterrestres	Außerirdische	földönkívüliek	alieni	kosmici	инопланетяне	mimozemšťania	extranjeros	utomjordingar	іншопланетяни
America	Amerika	Amerika	Amérique	Amerika	Amerika	America	Ameryka	Америка	Amerika	América	Amerika	Америка
anger	hněv	boosheid	colère	Zorn	harag	ira	gniew	гнев	hnev	ira	vrede	гнів
animals	zvířata	dieren	animaux	Tiere	állatok	animali	zwierzęta	животные	zvieratá	animales	djur	тварини
architecture	architektura	architectuur	architecture	Architektur	építészet	architettura	architektura	архитектура	architektúra	arquitectura	arkitektur	архітектура
arguments	hádky	ruzies	arguments	Streite	érvek	litigi 	spory	споры	hádky	argumentos	dispyter	сварки
art	umění	kunst	art	Kunst	művészet	arte 	sztuka	искусство	umenie	arte	konst	мистецтво
Asia	Asie	Azië	Asie	Asien	Ázsia	Asia	Azja	Азия	Ázia	Asia	Asien	Азія
athletics	atletika	atletiek	athlétisme	Athletik	atlétika	atletica	lekkoatletyka	атлетика	atletika	atletismo	friidrott	атлетика
Australia	Austrálie	Australië	Australie	Australien	Ausztrália	Australia	Australia	Австралия	Austrália	Australia	Australien	Австралія
Austria	Rakousko	Oostenrijk	Autriche	Österreich	Ausztria	Austria	Austria	Австрия	Rakúsko	Austria	Österrike	Австрія
autumn	podzim	herfst	automne	Herbst	ősz	autunno	jesień	осень	jeseň	otoño	höst	осінь
baking	pečení	het bakken	cuisson	Backen	sütés	cottura al forno	pieczenie	выпечка	pečenie	cocción	bakning	випічка
barbecue	grilování	barbecue	barbecue	Grillen	kerti sütögetés	grigliate	grill	барбекю	opekačka	parilla	grillning	барбекю
beards	vousy	baarden	barbes	Bärte	szakállak	barba	brody	бороды	fúzy	barba	skägg	бороди
beauty	krása	schoonheid	beauté	Schönheit	szépség	bellezza	piękno	красота	krása	belleza	skönhet	краса
bicycles	jízdní kola	fietsen	vélos	Fahrräder	kerékpárok	biciclette	rowery	велосипеды	bicykle	bicicletas	cyklar	велосипеди
biology	biologie	biologie	biologie	Biologie	biológia	biologia	biologia	биология	biológia	biología	biologi	біологія
birds	ptáci	vogels	oiseaux	Vögel	madarak	uccelli	ptaki	птицы	vtáky	aves	fåglar	птахи
birthdays	narozeniny	verjaardagen	anniversaires	Geburtstage	születésnapok	compleanni	urodziny	дни рождения	narodeniny	cumpleaños	födelsedagar	дні народження
